127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/cube-portfolio/cubeportfolio/js/jquery.cubeportfolio.min.js HTTP/1.1" 404 580 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/gmaps-ini.js HTTP/1.1" 404 536 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/master-slider/masterslider/masterslider.min.js HTTP/1.1" 404 567 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/one.app.js HTTP/1.1" 404 526 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/owl-carousel2.js HTTP/1.1" 404 540 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/datepicker.js HTTP/1.1" 404 537 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/promo.js HTTP/1.1" 404 532 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/testimonials.js HTTP/1.1" 404 539 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/plugins/gallery.js HTTP/1.1" 404 534 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/js/forms/contact.js HTTP/1.1" 404 532 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 550 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
